Number,Frage,Antwort
1696,und jede Menge Bücher.,und viele Diebe.
1697,und viele Diebe.,Wie meinst du das?
1698,what do you mean?,"Ich meine, bewahren Sie Ihre Sachen immer in Ihrer Nähe auf."
1699,"Ich meine, bewahren Sie Ihre Sachen immer in Ihrer Nähe auf.","Das einzige, was ich in meinem Rucksack habe, sind gebrauchte Bücher."
1700,"Das einzige, was ich in meinem Rucksack habe, sind gebrauchte Bücher.",Aber Diebe wissen das nicht.
1701,Aber Diebe wissen das nicht.,"Sie könnten denken, dass ich dort einen iPod oder Laptop habe."
1702,"Sie könnten denken, dass ich dort einen iPod oder Laptop habe.",Jetzt denkst du.
1703,Jetzt denkst du.,"Man könnte meinen, eine Bibliothek wäre vor Dieben sicher."
1704,"Man könnte meinen, eine Bibliothek wäre vor Dieben sicher.",Nicht einmal eine Kirche ist vor Dieben sicher.
1705,Wie gut ist dein Mathe?,Ich kann zwei und zwei hinzufügen.
1706,Ich kann zwei und zwei hinzufügen.,Du bist also nicht sehr gut in Mathe?
1707,Du bist also nicht sehr gut in Mathe?,Ich bin schrecklich in Mathe.
1708,Ich bin schrecklich in Mathe.,"Nun, ich brauche etwas Hilfe."
1709,"Nun, ich brauche etwas Hilfe.",mit was?
1710,mit was?,Ich besuche einen Mathematikkurs in der Schule.
1711,Ich besuche einen Mathematikkurs in der Schule.,"Nun, Sie sollten Ihren Lehrer oder Ihre Klassenkameraden um Hilfe bitten."
1712,"Nun, Sie sollten Ihren Lehrer oder Ihre Klassenkameraden um Hilfe bitten.",Das kann ich nicht.
1713,Das kann ich nicht.,Warum nicht?
1714,why not?,"Sie denken vielleicht, ich sei dumm."
1715,"Sie denken vielleicht, ich sei dumm.",Das werden sie nicht denken! Sie helfen Ihnen gerne weiter.
1716,Glaubst du an Gott?,Natürlich.
1717,of course.,Betest du zu Gott?
1718,Betest du zu Gott?,gelegentlich.
1719,gelegentlich.,Wann ist das?
1720,Wann ist das?,wenn ich etwas brauche.
1721,wenn ich etwas brauche.,Wie was?
1722,like what?,"Na ja, wenn ich eine große Prüfung in der Schule habe."
1723,"Na ja, wenn ich eine große Prüfung in der Schule habe.",Erhört Gott deine Gebete?
1724,Erhört Gott deine Gebete?,"Ja, ich habe alle meine Prüfungen bestanden."
1725,"Ja, ich habe alle meine Prüfungen bestanden.",Beten Sie jemals um Geld?
1726,Beten Sie jemals um Geld?,"Noch nicht. Ich muss das nicht tun, bis ich mein Abitur gemacht habe."
1727,Die Polizei fand schließlich den Ehemann.,welcher Ehemann?
1728,welcher Ehemann?,"der Ehemann des Fahrers, der um 3 Uhr morgens zwei College-Studenten überfuhr."
1729,"der Ehemann des Fahrers, der um 3 Uhr morgens zwei College-Studenten überfuhr.",Oh ja. Das Mädchen starb sofort und der Junge liegt immer noch im Krankenhaus.
1730,Oh ja. Das Mädchen starb sofort und der Junge liegt immer noch im Krankenhaus.,"Der Ehemann sagte, er habe versucht, dem Jungen zu helfen."
1731,"Der Ehemann sagte, er habe versucht, dem Jungen zu helfen.","Ja, er hat ihn von der Motorhaube des Autos gestoßen."
1732,"Ja, er hat ihn von der Motorhaube des Autos gestoßen.","Nein, er sagte, er habe den Jungen sanft auf die Straße gesetzt."
1733,"Nein, er sagte, er habe den Jungen sanft auf die Straße gesetzt.",Na und? sie fuhren trotzdem los.
1734,Na und? sie fuhren trotzdem los.,"Der Ehemann sagte, eine Feuerwehr sei in der Nähe."
1735,"Der Ehemann sagte, eine Feuerwehr sei in der Nähe.",Na und? Hat er 911 gewählt?
1736,Na und? Hat er 911 gewählt?,"Er sagte, er habe darüber nachgedacht, sei aber nicht dazu gekommen."
1737,"Er sagte, er habe darüber nachgedacht, sei aber nicht dazu gekommen.","er kam auch nicht dazu, sich zu stellen."
1738,Ich fahre nicht gern mit dem Bus.,Warum nicht?
1739,why not?,Die Sitze und Fenster sind schmutzig.
1740,Die Sitze und Fenster sind schmutzig.,Wird der Bus nicht jeden Abend gereinigt?
1741,Wird der Bus nicht jeden Abend gereinigt?,"Ich denke, das tun sie."
1742,"Ich denke, das tun sie.",Sie sollten einige Tücher mitbringen.
1743,Sie sollten einige Tücher mitbringen.,das ist eine gute Idee.
1744,that's a good idea.,Dann können Sie Ihren Sitz und Ihr Fenster abwischen.
1745,Dann können Sie Ihren Sitz und Ihr Fenster abwischen.,"Die Leute werden denken, ich sei seltsam."
1746,"Die Leute werden denken, ich sei seltsam.",wen interessiert das? Jeder ist seltsam.
1747,wen interessiert das? Jeder ist seltsam.,das ist sicher.
1748,that's for sure.,"Machen Sie sich keine Gedanken darüber, was die Leute denken."
1749,i don't like riding the bus.,Warum nicht?
1750,why not?,Erstens ist es zu langsam.
1751,Erstens ist es zu langsam.,sie haben Recht. ein Auto ist schneller.
1752,sie haben Recht. ein Auto ist schneller.,Zweitens ist es normalerweise spät.
1753,Zweitens ist es normalerweise spät.,sie haben Recht. Die Busse sind nie pünktlich.
1754,sie haben Recht. Die Busse sind nie pünktlich.,Nummer drei: Es läuft nicht rund um die Uhr.
1755,Nummer drei: Es läuft nicht rund um die Uhr.,sie haben Recht. Busse fahren nicht bis spät in die Nacht.
1756,sie haben Recht. Busse fahren nicht bis spät in die Nacht.,Nummer vier: Es ist zu voll.
1757,Nummer vier: Es ist zu voll.,sie haben Recht. Du musst im Gang stehen.
1758,sie haben Recht. Du musst im Gang stehen.,Nummer fünf: Es ist unsicher.
1759,Nummer fünf: Es ist unsicher.,Sie haben Recht. Bösewichte könnten dich ausrauben.
1760,Wir hatten ein Problem in der Schule.,Was war das Problem?
1761,Was war das Problem?,Jemand hat die Reifen zerschnitten.
1762,Jemand hat die Reifen zerschnitten.,welche Reifen?
1763,welche Reifen?,die Reifen der Autos.
1764,die Reifen der Autos.,Wo waren die Autos?
1765,Wo waren die Autos?,Sie waren auf dem Studentenparkplatz.
1766,Sie waren auf dem Studentenparkplatz.,Wie viele Reifen wurden geschnitten?
1767,Wie viele Reifen wurden geschnitten?,An jedem Auto wurden ein oder zwei Reifen zerschnitten.
1768,An jedem Auto wurden ein oder zwei Reifen zerschnitten.,wie viele Autos?
1769,wie viele Autos?,elf Autos.
1770,elf Autos.,"das ist furchtbar. Ich hoffe, sie fangen die Person."
1771,Das Leben ist nicht fair.,das ist es sicher nicht.
1772,das ist es sicher nicht.,Ich habe gestern ein Ticket bekommen.
1773,Ich habe gestern ein Ticket bekommen.,wozu?
1774,wozu?,Ich überquerte die Straße.
1775,Ich überquerte die Straße.,Warst du auf einem Zebrastreifen?
1776,Warst du auf einem Zebrastreifen?,"Ja, aber die rote Hand blinkte."
1777,"Ja, aber die rote Hand blinkte.",Also? Das ist ein Ticket?
1778,Also? Das ist ein Ticket?,"Ja, es ist ein 140-Dollar-Ticket."
1779,"Ja, es ist ein 140-Dollar-Ticket.",das ist nicht richtig!
1780,das ist nicht richtig!,"Als ich anfing, die Straße zu überqueren, blinkte das weiße Gehwegschild."
1781,"Als ich anfing, die Straße zu überqueren, blinkte das weiße Gehwegschild.",Du musst schneller gehen.
1782,Du fährst zu schnell.,Warum sagst du das?
1783,why do you say that?,Die Geschwindigkeitsbegrenzung beträgt 65.
1784,Die Geschwindigkeitsbegrenzung beträgt 65.,"ich weiß, dass."
1785,"ich weiß, dass.",aber du schaffst 75.
1786,aber du schaffst 75.,das gilt auch für alle anderen.
1787,das gilt auch für alle anderen.,Aber ein Polizist könnte dich aufhalten.
1788,Aber ein Polizist könnte dich aufhalten.,"Nein, das wird er nicht. einige Autos machen 85."
1789,"Nein, das wird er nicht. einige Autos machen 85.",Also wird der Polizist diese Autos anhalten?
1790,Also wird der Polizist diese Autos anhalten?,Natürlich. Er stoppt die schnellsten Autos.
1791,Natürlich. Er stoppt die schnellsten Autos.,Mein Freund hat ein Ticket für 75 bekommen.
1792,Mein Freund hat ein Ticket für 75 bekommen.,Dein Freund hatte Pech.
1793,"Denken Sie daran, Luft in Ihre Reifen zu füllen.",Wie oft muss ich das machen?
1794,Wie oft muss ich das machen?,einmal alle zwei Monate.
1795,einmal alle zwei Monate.,das ist eine Menge.
1796,das ist eine Menge.,Wie meinst du das?
1797,what do you mean?,das ist sechsmal im Jahr!
1798,das ist sechsmal im Jahr!,"Ja, und es dauert jedes Mal etwa fünf Minuten."
1799,"Ja, und es dauert jedes Mal etwa fünf Minuten.",Ich werde es versuchen.
1800,Ich werde es versuchen.,"Überprüfen Sie Ihre Reifen, sonst bekommen Sie einen Platten."
1801,"Überprüfen Sie Ihre Reifen, sonst bekommen Sie einen Platten.",Oh. Das ist nicht gut.
1802,Oh. Das ist nicht gut.,"Nein, das ist es nicht. Eine Wohnung kostet Sie Zeit und Geld."
1803,"Nein, das ist es nicht. Eine Wohnung kostet Sie Zeit und Geld.",und ich habe auch keines.
1804,you're driving too fast.,Ich bin in Eile.
1805,Ich bin in Eile.,Seien Sie niemals in Eile.
1806,Seien Sie niemals in Eile.,Es ist nicht meine Schuld. Du hast mich nicht geweckt.
1807,Es ist nicht meine Schuld. Du hast mich nicht geweckt.,"Das ist nicht meine Schuld. Du hast mir nicht gesagt, dass ich dich wecken soll."
1808,"Das ist nicht meine Schuld. Du hast mir nicht gesagt, dass ich dich wecken soll.","Nun ja, das hatte ich vor."
1809,"Nun ja, das hatte ich vor.","Seien Sie niemals in Eile, wenn Sie fahren."
1810,"Seien Sie niemals in Eile, wenn Sie fahren.",Warum nicht?
1811,why not?,"weil du einen Unfall haben wirst. Die meisten Unfälle passieren, weil Menschen in Eile sind."
1812,"weil du einen Unfall haben wirst. Die meisten Unfälle passieren, weil Menschen in Eile sind.",wie kannst du das Wissen?
1813,wie kannst du das Wissen?,ich lese viel.
1814,ich lese viel.,"Ich dachte, Betrunkene verursachten die meisten Unfälle."
1815,Lass uns eine Fahrt machen.,wohin gehen wir?
1816,wohin gehen wir?,in die Berge.
1817,in die Berge.,Das klingt nett.
1818,Das klingt nett.,Ich möchte dir mein neues Auto zeigen.
1819,Ich möchte dir mein neues Auto zeigen.,Du hast ein neues Auto gekauft?
1820,Du hast ein neues Auto gekauft?,Ja. Ich habe einen Cadillac gekauft.
1821,Ja. Ich habe einen Cadillac gekauft.,ein Luxusauto.
1822,ein Luxusauto.,Luxus plus Geschwindigkeit.
1823,Luxus plus Geschwindigkeit.,auf was warten wir?
1824,auf was warten wir?,Lass mich die Schlüssel holen.
1825,Lass mich die Schlüssel holen.,Lass mich meine Kamera holen.
1826,i have to go to the bathroom.,"Warum bist du nicht gegangen, bevor wir gegangen sind?"
1827,"Warum bist du nicht gegangen, bevor wir gegangen sind?","Ich habe es getan, aber ich muss noch einmal gehen."
1828,"Ich habe es getan, aber ich muss noch einmal gehen.","Naja, warte noch ein bisschen."
1829,"Naja, warte noch ein bisschen.","Ich glaube, ich werde explodieren."
1830,"Ich glaube, ich werde explodieren.",halte einfach durch.
1831,halte einfach durch.,Oh! Schlagen Sie keine Unebenheiten mehr!
1832,Oh! Schlagen Sie keine Unebenheiten mehr!,Wir sind in wenigen Minuten bei McDonald's.
1833,Wir sind in wenigen Minuten bei McDonald's.,"Ich hoffe, es sind schnelle Minuten."
1834,"Ich hoffe, es sind schnelle Minuten.",über etwas anderes nachdenken. Denken Sie an einen Hamburger.
1835,über etwas anderes nachdenken. Denken Sie an einen Hamburger.,"Ich denke nach, aber ich muss trotzdem gehen."
1836,"Ich denke nach, aber ich muss trotzdem gehen.",Es ist die nächste Ausfahrt. festhalten!
1837,Wo ist das Auto?,Wie meinst du das?
1838,what do you mean?,Das Auto ist nicht hier.
1839,Das Auto ist nicht hier.,Wo hast du es geparkt?
1840,Wo hast du es geparkt?,Ich habe es genau hier geparkt.
1841,Ich habe es genau hier geparkt.,bist du sicher?
1842,are you sure?,Ja. Ich erinnere mich an diesen großen Baum.
1843,Ja. Ich erinnere mich an diesen großen Baum.,vielleicht ist es der falsche Baum.
1844,vielleicht ist es der falsche Baum.,"Nein, das ist der Baum."
1845,"Nein, das ist der Baum.",Hat es jemand gestohlen?
1846,Hat es jemand gestohlen?,Ich hoffe wirklich nicht.
1847,Ich hoffe wirklich nicht.,Vielleicht haben sie es abgeschleppt.
1848,Schauen Sie sich diesen Verkehr an.,Ich würde lieber nicht.
1849,Ich würde lieber nicht.,es wird jedes Jahr schlimmer.
1850,es wird jedes Jahr schlimmer.,Warum beschwerst du dich? Wir fahren fast 20 Meilen pro Stunde.
1851,Warum beschwerst du dich? Wir fahren fast 20 Meilen pro Stunde.,Die Geschwindigkeitsbegrenzung beträgt 65!
1852,Die Geschwindigkeitsbegrenzung beträgt 65!,"Nun, das ist zwischen 2:00 und 4:00 Uhr."
1853,"Nun, das ist zwischen 2:00 und 4:00 Uhr.",Wohin gehen all diese Leute?
1854,Wohin gehen all diese Leute?,Sie stellen alle die gleiche Frage.
1855,Sie stellen alle die gleiche Frage.,Wann werden sie dieses Problem beheben?
1856,Wann werden sie dieses Problem beheben?,"Sie sagten, sie bräuchten mehr Geld."
1857,"Sie sagten, sie bräuchten mehr Geld.",Sie brauchen immer mehr Geld.
1858,Sie brauchen immer mehr Geld.,"Es wird schlimmer, bevor es besser wird."
1859,Hast du das Auto gesehen?,"Ja, er ist über die rote Ampel gefahren."
1860,"Ja, er ist über die rote Ampel gefahren.",Können wir die Polizei rufen?
1861,Können wir die Polizei rufen?,"Nein, der Polizei ist es egal."
1862,"Nein, der Polizei ist es egal.",Warum nicht?
1863,why not?,sie müssen es sehen.
1864,sie müssen es sehen.,Sie glauben uns nicht?
1865,Sie glauben uns nicht?,"NEIN. Sie können nur dann ein Ticket ausstellen, wenn sie es sehen."
1866,"NEIN. Sie können nur dann ein Ticket ausstellen, wenn sie es sehen.","Also, was machen wir?"
1867,"Also, was machen wir?",wir machen nichts.
1868,wir machen nichts.,Vielleicht sollten wir das nächste Mal hupen.
1869,Vielleicht sollten wir das nächste Mal hupen.,Der Fahrer wird uns einfach anhupen.
1870,Mein Auto ist schmutzig.,Warum waschst du es nicht?
1871,Warum waschst du es nicht?,das werde ich tun.
1872,das werde ich tun.,Wirst du es selbst waschen?
1873,Wirst du es selbst waschen?,Natürlich. Es ist keine schwere Aufgabe.
1874,Natürlich. Es ist keine schwere Aufgabe.,Ich werde dir helfen.
1875,Ich werde dir helfen.,"Okay, ich hole einen Eimer."
1876,"Okay, ich hole einen Eimer.",Ich werde zuerst das Auto ausspülen.
1877,Ich werde zuerst das Auto ausspülen.,Dann können wir es mit einem feuchten Schwamm und Seife schrubben.
1878,Dann können wir es mit einem feuchten Schwamm und Seife schrubben.,Danach können wir es mit einem Handtuch trocknen.
1879,Danach können wir es mit einem Handtuch trocknen.,dann wird es wie neu aussehen
1880,dann wird es wie neu aussehen,und Sie sparen 10 $.
1881,Heute ist es sicher windig.,Papier fliegt überall herum.
1882,Papier fliegt überall herum.,Dieser Wind ist gefährlich für Autofahrer.
1883,Dieser Wind ist gefährlich für Autofahrer.,speziell für Fahrer großer LKWs.
1884,speziell für Fahrer großer LKWs.,Der Wind bläst diese Lastwagen um.
1885,Der Wind bläst diese Lastwagen um.,es bläst auch Bäume um.
1886,es bläst auch Bäume um.,Ein Baum fiel auf das Auto meines Vaters.
1887,Ein Baum fiel auf das Auto meines Vaters.,Wurde dort viel zerstört?
1888,Wurde dort viel zerstört?,Mein Vater musste ein neues Auto kaufen.
1889,Mein Vater musste ein neues Auto kaufen.,Wow! das ist furchtbar.
1890,wow! that's terrible.,Parken Sie Ihr Auto niemals unter einem Baum.
1891,Parken Sie Ihr Auto niemals unter einem Baum.,"Der Wind wird dich holen, oder die Vögel werden dich holen."
1892,Wann hören wir auf?,Wir werden beim nächsten McDonald's vorbeischauen.
1893,Wir werden beim nächsten McDonald's vorbeischauen.,Wie weit ist das entfernt?
1894,Wie weit ist das entfernt?,"Ich denke, wir werden in einer halben Stunde dort sein."
1895,"Ich denke, wir werden in einer halben Stunde dort sein.",Ich hoffe es. ich muss ins Badezimmer gehen.
1896,Ich hoffe es. ich muss ins Badezimmer gehen.,"Na ja, ich kann immer vorbeifahren."
1897,"Na ja, ich kann immer vorbeifahren.","Nein, danke, ich warte einfach."
1898,"Nein, danke, ich warte einfach.",Wir können zwei Fliegen mit einer Klappe schlagen.
1899,Wir können zwei Fliegen mit einer Klappe schlagen.,Wie meinst du das?
1900,what do you mean?,"Während du auf die Toilette gehst, bestelle ich etwas zu essen."
1901,"Während du auf die Toilette gehst, bestelle ich etwas zu essen.",Bestellen Sie nicht für mich. Ich bin nicht hungrig.
1902,Bestellen Sie nicht für mich. Ich bin nicht hungrig.,Ich bin sehr hungrig. Ich bestelle für dich und dann esse ich deins.
1903,Das ist so ein langes Licht.,"Schauen Sie, wie viele Autos in der Schlange warten."
1904,"Schauen Sie, wie viele Autos in der Schlange warten.",Sie brauchen einen Linksabbiegepfeil.
1905,Sie brauchen einen Linksabbiegepfeil.,Nur zwei Autos können alle drei oder vier Minuten links abbiegen.
1906,Nur zwei Autos können alle drei oder vier Minuten links abbiegen.,wir werden für immer hier sein.
1907,wir werden für immer hier sein.,Verlassen Sie diese Spur.
1908,Verlassen Sie diese Spur.,aber wir müssen nach links abbiegen.
1909,aber wir müssen nach links abbiegen.,Vergiss es. Fahren Sie geradeaus.
1910,Vergiss es. Fahren Sie geradeaus.,dann was?
1911,dann was?,dann machen wir einfach eine Kehrtwende.
1912,dann machen wir einfach eine Kehrtwende.,und dann können wir an der Ampel rechts abbiegen.
1913,und dann können wir an der Ampel rechts abbiegen.,gute Idee. Es wird so viel schneller gehen.
1914,Ich brauche ein günstiges Auto.,wie viel Geld hast du?
1915,wie viel Geld hast du?,1.000 $.
1916,1.000 $.,"Nun, das sollte dir etwas bringen."
1917,"Nun, das sollte dir etwas bringen.","Aber ich brauche etwas, das zuverlässig ist."
1918,"Aber ich brauche etwas, das zuverlässig ist.",Sie benötigen ein Auto mit geringer Kilometerleistung.
1919,Sie benötigen ein Auto mit geringer Kilometerleistung.,"ein Auto, das einer kleinen alten Dame gehörte."
1920,"ein Auto, das einer kleinen alten Dame gehörte.",Wo hast du gesucht?
1921,Wo hast du gesucht?,Ich habe noch nirgendwo gesucht.
1922,Ich habe noch nirgendwo gesucht.,Warum nicht?
1923,why not?,weil ich für so einen günstigen Preis nie eins finden werde.
1924,weil ich für so einen günstigen Preis nie eins finden werde.,Da hast du recht. Sparen Sie weiterhin Ihr Geld.
1925,"Guten Tag, Offizier.",Bitte legen Sie Ihren Führerschein und Ihre Zulassung vor.
1926,Bitte legen Sie Ihren Führerschein und Ihre Zulassung vor.,Bitte schön.
1927,Bitte schön.,"Weißt du, warum ich dich angehalten habe?"
1928,"Weißt du, warum ich dich angehalten habe?",Ich habe keine Ahnung. Plötzlich hörte ich deine Sirene.
1929,Ich habe keine Ahnung. Plötzlich hörte ich deine Sirene.,Du bist dort hinten durch das Stoppschild gerollt.
1930,Du bist dort hinten durch das Stoppschild gerollt.,aber ich habe aufgehört!
1931,aber ich habe aufgehört!,"Nein, hast du nicht. Du bist zwar langsamer geworden, aber nicht zum Stillstand gekommen."
1932,"Nein, hast du nicht. Du bist zwar langsamer geworden, aber nicht zum Stillstand gekommen.","Nun ja, das tut sonst niemand, also warum sollte ich?"
1933,"Nun ja, das tut sonst niemand, also warum sollte ich?",Das ist nicht die Einstellung eines guten Fahrers.
1934,Das ist nicht die Einstellung eines guten Fahrers.,aber ich bin ein guter Fahrer. Ich hatte noch nie in meinem Leben ein Ticket.
1935,aber ich bin ein guter Fahrer. Ich hatte noch nie in meinem Leben ein Ticket.,"Nun ja, jetzt hast du eins. Hier. Einen schönen Tag noch."
1936,140 $. Ich kann es nicht glauben.,Worüber redest du?
1937,what are you talking about?,Ich habe ein Ticket für 140 $ in die Innenstadt bekommen.
1938,Ich habe ein Ticket für 140 $ in die Innenstadt bekommen.,Hast du zu schnell gefahren?
1939,Hast du zu schnell gefahren?,"Nein, ich habe die Straße überquert."
1940,"Nein, ich habe die Straße überquert.",warst du jaywalking?
1941,warst du jaywalking?,"Nein, ich war auf dem Zebrastreifen."
1942,"Nein, ich war auf dem Zebrastreifen.",Warum hast du also ein Ticket bekommen?
1943,Warum hast du also ein Ticket bekommen?,"Der Beamte sagte, die rote Hand blinzelte."
1944,"Der Beamte sagte, die rote Hand blinzelte.","Blinkte es, als Sie den Zebrastreifen betraten?"
1945,"Blinkte es, als Sie den Zebrastreifen betraten?","Nein, das weiße Gehwegschild blinkte."
1946,"Nein, das weiße Gehwegschild blinkte.",Du solltest gegen dieses Ticket ankämpfen. Ich werde Ihr Zeuge sein.
1947,Sie standen um 3 Uhr morgens auf einem Zebrastreifen in der Nähe der Schule.,WHO?
1948,WHO?,zwei Studenten von der USC.
1949,zwei Studenten von der USC.,was ist passiert?
1950,what happened?,Ein schnell fahrendes Auto überfuhr eine rote Ampel und tötete das Mädchen.
1951,Ein schnell fahrendes Auto überfuhr eine rote Ampel und tötete das Mädchen.,Was ist mit dem anderen Schüler passiert?
1952,Was ist mit dem anderen Schüler passiert?,Er landete auf der Motorhaube des Autos.
1953,Er landete auf der Motorhaube des Autos.,ist er aus der Haube gekommen?
1954,ist er aus der Haube gekommen?,"Nein, das Auto hielt an und der Beifahrer stieß den verletzten Studenten von der Motorhaube."
1955,"Nein, das Auto hielt an und der Beifahrer stieß den verletzten Studenten von der Motorhaube.","Ich wette, das Auto setzte seinen Weg fort."
1956,"Ich wette, das Auto setzte seinen Weg fort.","Natürlich tat es das. Warum aufhören, nachdem man zwei Leute überfahren hat?"
1957,"Natürlich tat es das. Warum aufhören, nachdem man zwei Leute überfahren hat?","Ich hoffe, dass sie sie finden und lebenslang ins Gefängnis stecken."
1958,Was ist mit deinem Auto passiert?,Ich habe eine Delle auf dem Parkplatz bekommen.
1959,Ich habe eine Delle auf dem Parkplatz bekommen.,Wie haben Sie es bekommen?
1960,Wie haben Sie es bekommen?,ich weiß nicht. vielleicht war es aus einem Einkaufswagen.
1961,ich weiß nicht. vielleicht war es aus einem Einkaufswagen.,Diese Einkaufswagen sind gefährlich.
1962,Diese Einkaufswagen sind gefährlich.,vor allem die aus Metall.
1963,vor allem die aus Metall.,"Ich parke nicht in einem Geschäft, in dem Einkaufswagen aus Metall verwendet werden."
1964,"Ich parke nicht in einem Geschäft, in dem Einkaufswagen aus Metall verwendet werden.","Das ist eine gute Idee, aber in diesem Laden gab es einen guten Ausverkauf."
1965,"Das ist eine gute Idee, aber in diesem Laden gab es einen guten Ausverkauf.",Hast du beim Verkauf Geld gespart?
1966,Hast du beim Verkauf Geld gespart?,"Ja, habe ich. Ich habe etwa 50 $ gespart."
1967,"Ja, habe ich. Ich habe etwa 50 $ gespart.",das ist großartig.
1968,das ist großartig.,"Ja, außer dass diese Delle etwa 150 $ kosten wird."
1969,Hast du „Titanic“ gesehen?,Ja. es ist ein toller Film.
1970,Ja. es ist ein toller Film.,Ich habe es zwölf Mal gesehen.
1971,Ich habe es zwölf Mal gesehen.,Ich habe es acht Mal gesehen.
1972,Ich habe es acht Mal gesehen.,Ich habe die DVD.
1973,Ich habe die DVD.,Ich auch.
1974,so do i.,Lass uns zu dir nach Hause gehen.
1975,Lass uns zu dir nach Hause gehen.,Wir können mir meine DVD ansehen.
1976,Wir können mir meine DVD ansehen.,und dann können wir zu mir nach Hause gehen.
1977,und dann können wir zu mir nach Hause gehen.,und schau dir deine DVD an.
1978,und schau dir deine DVD an.,Ich weine immer am Ende.
1979,Ich weine immer am Ende.,Ich auch. Es ist so traurig.
1980,Lass uns Karten spielen.,Ich kenne keine Kartenspiele.
1981,Ich kenne keine Kartenspiele.,Ich werde dir eins beibringen.
1982,Ich werde dir eins beibringen.,Okay. Was wirst du mir beibringen?
1983,Okay. Was wirst du mir beibringen?,es heißt Poker.
1984,es heißt Poker.,ist es leicht zu lernen?
1985,ist es leicht zu lernen?,"Ja, es dauert nur etwa 30 Minuten."
1986,"Ja, es dauert nur etwa 30 Minuten.","Okay. Bring mir bei, wie man spielt."
1987,"Okay. Bring mir bei, wie man spielt.",Jeder von uns bekommt fünf Karten.
1988,Jeder von uns bekommt fünf Karten.,Oh schau. Ich habe vier Zehner.
1989,Oh schau. Ich habe vier Zehner.,"Das ist großartig, aber du sollst es mir nicht sagen."
1990,"Das ist großartig, aber du sollst es mir nicht sagen.","Oh. Entschuldigung. Okay, ich habe keine vier Zehner."
1991,Ich bin ein guter Kartenspieler.,Warum das?
1992,why is that?,weil ich die anderen Spieler beobachte.
1993,weil ich die anderen Spieler beobachte.,Wie meinst du das?
1994,what do you mean?,"Die Leute werden es dir sagen, wenn sie ein gutes Händchen haben."
1995,"Die Leute werden es dir sagen, wenn sie ein gutes Händchen haben.",Wie haben sie das gemacht?
1996,Wie haben sie das gemacht?,Ein Freund von mir leckt sich zum Beispiel die Lippen.
1997,Ein Freund von mir leckt sich zum Beispiel die Lippen.,"Wenn er sich die Lippen leckt, weißt du, dass er eine gute Hand hat?"
1998,"Wenn er sich die Lippen leckt, weißt du, dass er eine gute Hand hat?","Ich weiß, dass er eine gute Hand hat, also wette ich nicht."
1999,"Ich weiß, dass er eine gute Hand hat, also wette ich nicht.",Er gewinnt nie dein Geld?
2000,Er gewinnt nie dein Geld?,"Nein, und es macht ihn verrückt."
2001,"Nein, und es macht ihn verrückt.","Er weiß, dass du seine Gedanken nicht lesen kannst. Vielleicht denkst du, dass du betrügst."
2002,Bitte schalten Sie das Radio leiser aus.,aber ich höre es mir an.
2003,aber ich höre es mir an.,"Nun, hör es dir ruhiger an."
2004,"Nun, hör es dir ruhiger an.","Ich kann es kaum erwarten, bis ich groß bin."
2005,"Ich kann es kaum erwarten, bis ich groß bin.",was werden Sie tun?
2006,was werden Sie tun?,"Ich werde das Radio so laut spielen, wie ich will."
2007,"Ich werde das Radio so laut spielen, wie ich will.",das ist okay für mich.
2008,das ist okay für mich.,Ich werde in jedem Zimmer meines Hauses ein Radio haben.
2009,Ich werde in jedem Zimmer meines Hauses ein Radio haben.,"Erinnere mich daran, dich niemals zu besuchen."
2010,"Erinnere mich daran, dich niemals zu besuchen.",Alle Radios werden besonders laut sein.
2011,Alle Radios werden besonders laut sein.,Deine Nachbarn werden dich hassen.
2012,Deine Nachbarn werden dich hassen.,"Wenn es ihnen nicht gefällt, können sie umziehen."
2013,"Ich hoffe, dass ich im Lotto gewinne.",Deine Chancen sind sehr gering.
2014,Deine Chancen sind sehr gering.,"Aber man kann nicht gewinnen, wenn man nicht spielt."
2015,"Aber man kann nicht gewinnen, wenn man nicht spielt.","Ha! Sie können nicht gewinnen, wenn Sie spielen."
2016,"Ha! Sie können nicht gewinnen, wenn Sie spielen.",jemand muss gewinnen.
2017,jemand muss gewinnen.,das sagen alle.
2018,das sagen alle.,Es könnte genauso gut ich sein.
2019,Es könnte genauso gut ich sein.,das sagen alle.
2020,that's what everyone says.,Du versuchst mir etwas zu sagen.
2021,Du versuchst mir etwas zu sagen.,das hat nicht lange gedauert.
2022,das hat nicht lange gedauert.,"Du denkst, ich sollte aufhören zu spielen."
2023,"Du denkst, ich sollte aufhören zu spielen.",Sparen Sie Ihr Geld für die Schule.
2024,what's on tv?,nicht viel.
2025,nicht viel.,Was ist mit dem Baseballspiel?
2026,Was ist mit dem Baseballspiel?,es hat geregnet.
2027,es hat geregnet.,hat es geregnet?
2028,hat es geregnet?,"ja, es hat geregnet."
2029,"ja, es hat geregnet.",wie kann das sein?
2030,wie kann das sein?,"Nun, bei einem Regenschauer kann man nicht Baseball spielen."
2031,"Nun, bei einem Regenschauer kann man nicht Baseball spielen.","Ich dachte, sie würden unter einer Kuppel spielen."
2032,"Ich dachte, sie würden unter einer Kuppel spielen.",Die Kuppel schließt nicht.
2033,Die Kuppel schließt nicht.,Warum schließt es nicht?
